x,y,layer1,layer2,voltage1,voltage2,current
101.448,4953.67,INNER_2,BOTTOM_LAYER,0.0156317,0.0156317,1.23516e-13
119.164,233.197,TOP_LAYER,INNER_1,25.1254,25.1254,-0.000113419
119.164,233.197,INNER_1,INNER_2,25.1254,25.1254,-0.000113419
119.164,233.197,INNER_2,BOTTOM_LAYER,25.1254,25.1254,-0.000113419
119.164,351.308,TOP_LAYER,INNER_1,25.1262,25.1262,-6.16073e-05
119.164,351.308,INNER_1,INNER_2,25.1262,25.1262,-6.16074e-05
119.164,351.308,INNER_2,BOTTOM_LAYER,25.1262,25.1262,-6.16073e-05
119.164,469.418,TOP_LAYER,INNER_1,25.1274,25.1274,-2.64866e-05
119.164,469.418,INNER_1,INNER_2,25.1274,25.1274,-2.64866e-05
119.164,469.418,INNER_2,BOTTOM_LAYER,25.1274,25.1274,-2.64866e-05
119.164,587.528,TOP_LAYER,INNER_1,25.129,25.129,-9.40437e-06
119.164,587.528,INNER_1,INNER_2,25.129,25.129,-9.40443e-06
119.164,587.528,INNER_2,BOTTOM_LAYER,25.129,25.129,-9.40437e-06
119.164,705.638,TOP_LAYER,INNER_1,25.1307,25.1307,-2.79515e-06
119.164,705.638,INNER_1,INNER_2,25.1307,25.1307,-2.79518e-06
119.164,705.638,INNER_2,BOTTOM_LAYER,25.1307,25.1307,-2.79515e-06
119.164,823.748,TOP_LAYER,INNER_1,25.1326,25.1326,-7.04684e-07
119.164,823.748,INNER_1,INNER_2,25.1326,25.1326,-7.0473e-07
119.164,823.748,INNER_2,BOTTOM_LAYER,25.1326,25.1326,-7.04747e-07
119.164,941.859,TOP_LAYER,INNER_1,25.1345,25.1345,-1.58543e-07
119.164,941.859,INNER_1,INNER_2,25.1345,25.1345,-1.58508e-07
119.164,941.859,INNER_2,BOTTOM_LAYER,25.1345,25.1345,-1.5848e-07
119.164,1059.97,TOP_LAYER,INNER_1,25.1364,25.1364,-3.30745e-08
119.164,1059.97,INNER_1,INNER_2,25.1364,25.1364,-3.3083e-08
119.164,1059.97,INNER_2,BOTTOM_LAYER,25.1364,25.1364,-3.30745e-08
119.164,1178.08,TOP_LAYER,INNER_1,25.1384,25.1384,-4.99597e-09
119.164,1178.08,INNER_1,INNER_2,25.1384,25.1384,-5.05067e-09
119.164,1178.08,INNER_2,BOTTOM_LAYER,25.1384,25.1384,-5.05921e-09
119.164,1296.19,TOP_LAYER,INNER_1,25.1404,25.1404,7.71529e-09
119.164,1296.19,INNER_1,INNER_2,25.1404,25.1404,7.77203e-09
119.164,1296.19,INNER_2,BOTTOM_LAYER,25.1404,25.1404,7.77853e-09
119.164,1414.3,TOP_LAYER,INNER_1,25.1423,25.1423,4.55328e-08
119.164,1414.3,INNER_1,INNER_2,25.1423,25.1423,4.55252e-08
119.164,1414.3,INNER_2,BOTTOM_LAYER,25.1423,25.1423,4.55961e-08
119.164,1532.41,TOP_LAYER,INNER_1,25.1443,25.1443,2.29561e-07
119.164,1532.41,INNER_1,INNER_2,25.1443,25.1443,2.29632e-07
119.164,1532.41,INNER_2,BOTTOM_LAYER,25.1443,25.1443,2.29561e-07
119.164,1650.52,TOP_LAYER,INNER_1,25.1462,25.1462,1.14022e-06
119.164,1650.52,INNER_1,INNER_2,25.1462,25.1462,1.14016e-06
119.164,1650.52,INNER_2,BOTTOM_LAYER,25.1462,25.1462,1.14022e-06
119.164,1768.63,TOP_LAYER,INNER_1,25.1482,25.1482,5.56127e-06
119.164,1768.63,INNER_1,INNER_2,25.1482,25.1482,5.56135e-06
119.164,1768.63,INNER_2,BOTTOM_LAYER,25.1482,25.1482,5.56133e-06
119.164,1886.74,TOP_LAYER,INNER_1,25.15,25.15,2.57656e-05
119.164,1886.74,INNER_1,INNER_2,25.15,25.15,2.57656e-05
119.164,1886.74,INNER_2,BOTTOM_LAYER,25.15,25.15,2.57657e-05
119.164,2004.85,TOP_LAYER,INNER_1,25.1512,25.1512,8.74501e-05
